

     JSBSim Flight Dynamics Model v1.2.1 [GitHub build 1348/commit 9b95d1b5ccff59916c79a0e3eb8f548377910598] Mar  2 2025 15:20:26
            [JSBSim-ML v2.0]

JSBSim startup beginning ...

Using cpu device
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 99.2     |
|    ep_rew_mean     | -5.22    |
| time/              |          |
|    fps             | 119      |
|    iterations      | 1        |
|    time_elapsed    | 17       |
|    total_timesteps | 2048     |
---------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 101           |
|    ep_rew_mean          | -5.94         |
| time/                   |               |
|    fps                  | 116           |
|    iterations           | 2             |
|    time_elapsed         | 35            |
|    total_timesteps      | 4096          |
| train/                  |               |
|    approx_kl            | 1.0056538e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.1          |
|    explained_variance   | 0.00111       |
|    learning_rate        | 3e-06         |
|    loss                 | 36.8          |
|    n_updates            | 10            |
|    policy_gradient_loss | -4.46e-05     |
|    value_loss           | 102           |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 103          |
|    ep_rew_mean          | -8.07        |
| time/                   |              |
|    fps                  | 115          |
|    iterations           | 3            |
|    time_elapsed         | 53           |
|    total_timesteps      | 6144         |
| train/                  |              |
|    approx_kl            | 8.914503e-08 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.1         |
|    explained_variance   | -0.00364     |
|    learning_rate        | 3e-06        |
|    loss                 | 16.1         |
|    n_updates            | 20           |
|    policy_gradient_loss | -7.54e-06    |
|    value_loss           | 61.5         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 105           |
|    ep_rew_mean          | -8.33         |
| time/                   |               |
|    fps                  | 114           |
|    iterations           | 4             |
|    time_elapsed         | 71            |
|    total_timesteps      | 8192          |
| train/                  |               |
|    approx_kl            | 1.4773104e-07 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.1          |
|    explained_variance   | -0.0016       |
|    learning_rate        | 3e-06         |
|    loss                 | 47.3          |
|    n_updates            | 30            |
|    policy_gradient_loss | -1.07e-05     |
|    value_loss           | 100           |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 104          |
|    ep_rew_mean          | -10.7        |
| time/                   |              |
|    fps                  | 115          |
|    iterations           | 5            |
|    time_elapsed         | 88           |
|    total_timesteps      | 10240        |
| train/                  |              |
|    approx_kl            | 5.396432e-07 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.1         |
|    explained_variance   | -0.0016      |
|    learning_rate        | 3e-06        |
|    loss                 | 3.6          |
|    n_updates            | 40           |
|    policy_gradient_loss | -3.17e-05    |
|    value_loss           | 34.6         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 103           |
|    ep_rew_mean          | -11.1         |
| time/                   |               |
|    fps                  | 115           |
|    iterations           | 6             |
|    time_elapsed         | 106           |
|    total_timesteps      | 12288         |
| train/                  |               |
|    approx_kl            | 1.5240803e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.1          |
|    explained_variance   | -0.00164      |
|    learning_rate        | 3e-06         |
|    loss                 | 33.2          |
|    n_updates            | 50            |
|    policy_gradient_loss | -6.49e-05     |
|    value_loss           | 87.1          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 104          |
|    ep_rew_mean          | -9.83        |
| time/                   |              |
|    fps                  | 116          |
|    iterations           | 7            |
|    time_elapsed         | 123          |
|    total_timesteps      | 14336        |
| train/                  |              |
|    approx_kl            | 9.534124e-07 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.1         |
|    explained_variance   | 0.003        |
|    learning_rate        | 3e-06        |
|    loss                 | 37.1         |
|    n_updates            | 60           |
|    policy_gradient_loss | -2.2e-05     |
|    value_loss           | 98.7         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 100           |
|    ep_rew_mean          | -13.5         |
| time/                   |               |
|    fps                  | 116           |
|    iterations           | 8             |
|    time_elapsed         | 140           |
|    total_timesteps      | 16384         |
| train/                  |               |
|    approx_kl            | 1.8346182e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.1          |
|    explained_variance   | 0.00192       |
|    learning_rate        | 3e-06         |
|    loss                 | 45.9          |
|    n_updates            | 70            |
|    policy_gradient_loss | -5.88e-05     |
|    value_loss           | 116           |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 97.3          |
|    ep_rew_mean          | -14.7         |
| time/                   |               |
|    fps                  | 116           |
|    iterations           | 9             |
|    time_elapsed         | 157           |
|    total_timesteps      | 18432         |
| train/                  |               |
|    approx_kl            | 2.5168993e-07 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.1          |
|    explained_variance   | 0.00317       |
|    learning_rate        | 3e-06         |
|    loss                 | 91.7          |
|    n_updates            | 80            |
|    policy_gradient_loss | -1.99e-05     |
|    value_loss           | 154           |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 96.1         |
|    ep_rew_mean          | -15.5        |
| time/                   |              |
|    fps                  | 116          |
|    iterations           | 10           |
|    time_elapsed         | 175          |
|    total_timesteps      | 20480        |
| train/                  |              |
|    approx_kl            | 2.585497e-06 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.1         |
|    explained_variance   | 0.00125      |
|    learning_rate        | 3e-06        |
|    loss                 | 44.2         |
|    n_updates            | 90           |
|    policy_gradient_loss | -7.04e-05    |
|    value_loss           | 105          |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 96.2          |
|    ep_rew_mean          | -17.3         |
| time/                   |               |
|    fps                  | 117           |
|    iterations           | 11            |
|    time_elapsed         | 192           |
|    total_timesteps      | 22528         |
| train/                  |               |
|    approx_kl            | 1.5799014e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.1          |
|    explained_variance   | -0.00229      |
|    learning_rate        | 3e-06         |
|    loss                 | 101           |
|    n_updates            | 100           |
|    policy_gradient_loss | -3.68e-05     |
|    value_loss           | 94.7          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 95.6          |
|    ep_rew_mean          | -17.9         |
| time/                   |               |
|    fps                  | 117           |
|    iterations           | 12            |
|    time_elapsed         | 209           |
|    total_timesteps      | 24576         |
| train/                  |               |
|    approx_kl            | 1.6089471e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.1          |
|    explained_variance   | 0.000763      |
|    learning_rate        | 3e-06         |
|    loss                 | 9.37          |
|    n_updates            | 110           |
|    policy_gradient_loss | -5.51e-05     |
|    value_loss           | 67.6          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 98.6          |
|    ep_rew_mean          | -14.3         |
| time/                   |               |
|    fps                  | 117           |
|    iterations           | 13            |
|    time_elapsed         | 227           |
|    total_timesteps      | 26624         |
| train/                  |               |
|    approx_kl            | 1.9053405e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.1          |
|    explained_variance   | -0.000175     |
|    learning_rate        | 3e-06         |
|    loss                 | 14.3          |
|    n_updates            | 120           |
|    policy_gradient_loss | -5.25e-05     |
